...1,Week,PlayerName,PlayerScoreActual,PlayerScoreProjected,PlayerFantasyTeam,PlayerRosterSlot,TeamName
0,1,Saquon Barkley,7.800000000000001,14.958647106,1,RB,Team BL
1,1,A.J. Brown,11.4,12.1360562495,1,WR,Team BL
2,1,Jalen Hurts,12.5,21.329108779,1,QB,Team BL
3,1,Calvin Ridley,20.1,11.711644764100004,1,WR,Team BL
4,1,Darren Waller,5.1,9.806264107,1,TE,Team BL
5,1,Alexander Mattison,11.9,13.206048436,1,RB,Team BL
6,1,Tyler Lockett,2,10.557022739,1,FLEX,Team BL
7,1,Khalil Herbert,9.9,10.3085191245,1,Bench,Team BL
8,1,George Pickens,6.1,8.737185593300003,1,Bench,Team BL
9,1,Antonio Gibson,0.4,9.226718723,1,Bench,Team BL
10,1,Zay Flowers,13.2,8.348131582,1,Bench,Team BL
11,1,Cowboys D/ST,35,7.186809738,1,Bench,Team BL
12,1,Derek Carr,14.6,14.764858410100004,1,Bench,Team BL
13,1,Evan McPherson,3,8.168243646,1,K,Team BL
14,1,Jaylen Warren,4.300000000000001,5.875764139500001,1,Bench,Team BL
15,1,Jaguars D/ST,13,7.419003536,1,D/ST,Team BL
16,1,Tyreek Hill,39,16.875944459499998,2,WR,Team GM
17,1,Patrick Mahomes,19.54,24.679679786,2,QB,Team GM
18,1,Jahmyr Gibbs,7,12.268120998000002,2,RB,Team GM
19,1,Deebo Samuel,8.8,12.0122779935,2,WR,Team GM
20,1,Kenneth Walker III,8.700000000000001,13.643889282,2,RB,Team GM
21,1,Kyle Pitts,5.4,8.3459292225,2,TE,Team GM
22,1,Javonte Williams,7.7,10.095026961000002,2,Bench,Team GM
23,1,Deshaun Watson,20.66,18.457711419,2,Bench,Team GM
24,1,Isiah Pacheco,7.4,10.7588922855,2,FLEX,Team GM
25,1,Odell Beckham Jr.,4.7,9.0163773446,2,Bench,Team GM
26,1,Jordan Addison,14.1,7.8224598048,2,Bench,Team GM
27,1,Aaron Rodgers,0,15.822233917799998,2,Bench,Team GM
28,1,Devin Singletary,1.5,6.563572827000001,2,Bench,Team GM
29,1,Jets D/ST,20,4.652484595000001,2,D/ST,Team GM
30,1,Jake Elliott,18,8.147479024,2,K,Team GM
31,1,Darnell Mooney,13.3,7.5229220964,2,Bench,Team GM
32,1,Davante Adams,9.6,15.843414140200002,3,WR,Team WN
33,1,Travis Kelce,0,0,3,Bench,Team WN
34,1,Najee Harris,4.3,12.0304265435,3,RB,Team WN
35,1,Dameon Pierce,5.700000000000001,12.3845320985,3,RB,Team WN
36,1,Chris Godwin,7.6,11.199597592299998,3,WR,Team WN
37,1,Miles Sanders,9.8,13.039390232,3,FLEX,Team WN
38,1,Trevor Lawrence,17.740000000000002,18.467848558,3,QB,Team WN
39,1,Terry McLaurin,4.1,10.9023002565,3,Bench,Team WN
40,1,Cole Kmet,6.9,6.743946811500001,3,TE,Team WN
41,1,Christian Kirk,1.4,10.0582351548,3,Bench,Team WN
42,1,Raheem Mostert,12,11.634539145000002,3,Bench,Team WN
43,1,Daniel Jones,4.460000000000001,17.512883412000004,3,Bench,Team WN
44,1,Steelers D/ST,3,6.970753364000002,3,D/ST,Team WN
45,1,Daniel Carlson,5,8.08419991,3,K,Team WN
46,1,Nico Collins,11,8.279451668000002,3,Bench,Team WN
47,1,Tyler Allgeier,22.9,8.1772600753,3,Bench,Team WN
48,1,Stefon Diggs,21.200000000000003,12.9521817025,4,WR,Team JN
49,1,Tony Pollard,21.2,16.104313763500002,4,RB,Team JN
50,1,DK Metcalf,12.2,13.1274457135,4,WR,Team JN
51,1,DeVonta Smith,14.2,11.406352164,4,FLEX,Team JN
52,1,Justin Fields,14.54,19.505729525,4,QB,Team JN
53,1,Cam Akers,8.9,12.399317998499995,4,RB,Team JN
54,1,Alvin Kamara,0,0,4,Bench,Team JN
55,1,Evan Engram,7.4,7.9519895597999986,4,TE,Team JN
56,1,Dalvin Cook,7.4,10.681767261500005,4,Bench,Team JN
57,1,Marquise Brown,7.200000000000001,10.117777211500002,4,Bench,Team JN
58,1,Rashaad Penny,0,0,4,Bench,Team JN
59,1,Elijah Moore,7.7,6.985118883599999,4,Bench,Team JN
60,1,Dalton Kincaid,4.6,5.375008292,4,Bench,Team JN
61,1,Jared Goff,14.02,15.763321264,4,Bench,Team JN
62,1,Eagles D/ST,11,6.867158041,4,D/ST,Team JN
63,1,Tyler Bass,13,7.840335245,4,K,Team JN
64,1,Justin Jefferson,19.5,16.4980805983,5,WR,Team Caleb
65,1,Garrett Wilson,11.9,13.6344088715,5,WR,Team Caleb
66,1,Travis Etienne Jr.,18.9,13.795956073,5,RB,Team Caleb
67,1,Joe Burrow,3.18,19.775227064,5,QB,Team Caleb
68,1,James Conner,9.5,13.3320853305,5,RB,Team Caleb
69,1,Diontae Johnson,6.300000000000001,10.4985692457,5,FLEX,Team Caleb
70,1,Drake London,0,9.9998063975,5,Bench,Team Caleb
71,1,AJ Dillon,4.6000000000000005,10.2141824265,5,Bench,Team Caleb
72,1,Jonathan Taylor,0,0,5,Bench,Team Caleb
73,1,David Njoku,3.4000000000000004,8.098652736400002,5,TE,Team Caleb
74,1,Jerry Jeudy,0,0,5,Bench,Team Caleb
75,1,Bills D/ST,7,5.684757717,5,Bench,Team Caleb
76,1,Anthony Richardson,20.92,17.180615450999998,5,Bench,Team Caleb
77,1,Harrison Butker,8,8.274619835,5,K,Team Caleb
78,1,Rondale Moore,6,6.9863844464,5,Bench,Team Caleb
79,1,Seahawks D/ST,-2,5.034395312999999,5,D/ST,Team Caleb
80,1,Derrick Henry,12.900000000000002,15.918796866000005,6,RB,Team TP
81,1,Nick Chubb,14.7,14.516061038,6,RB,Team TP
82,1,Tee Higgins,0,11.894735265499998,6,WR,Team TP
83,1,Aaron Jones,25.700000000000003,13.769954046,6,FLEX,Team TP
84,1,Mike Williams,6.5,10.4822427275,6,Bench,Team TP
85,1,Christian Watson,0,0,6,Bench,Team TP
86,1,Pat Freiermuth,6.8,7.506343082,6,Bench,Team TP
87,1,Mike Evans,15.6,11.4305743585,6,WR,Team TP
88,1,Kirk Cousins,16.46,17.3666457947,6,QB,Team TP
89,1,Tyler Higbee,6.4,9.355552518,6,TE,Team TP
90,1,Skyy Moore,0.4,9.8536300332,6,Bench,Team TP
91,1,Jerick McKinnon,1.5,9.540163497000002,6,Bench,Team TP
92,1,Russell Wilson,15.18,18.638310048,6,Bench,Team TP
93,1,Jakobi Meyers,24.6,8.69857106952,6,Bench,Team TP
94,1,Graham Gano,-4,8.005041129,6,K,Team TP
95,1,Ravens D/ST,12,8.348835313,6,D/ST,Team TP
96,1,Bijan Robinson,17.3,16.025372510500002,7,RB,Team WR
97,1,CeeDee Lamb,9.7,14.5499584759,7,WR,Team WR
98,1,Rhamondre Stevenson,11.9,13.2423351775,7,RB,Team WR
99,1,Keenan Allen,11.2,11.0625604365,7,WR,Team WR
100,1,T.J. Hockenson,7.5,10.1062527765,7,TE,Team WR
101,1,DJ Moore,3.5,10.6699309736,7,Bench,Team WR
102,1,David Montgomery,13.4,11.0132589275,7,FLEX,Team WR
103,1,Brandon Aiyuk,28.9,8.5234483862,7,Bench,Team WR
104,1,Brian Robinson Jr.,13.1,10.648077842,7,Bench,Team WR
105,1,Courtland Sutton,11.2,11.0382136025,7,Bench,Team WR
106,1,Tua Tagovailoa,27.14,17.6143322706,7,Bench,Team WR
107,1,Kenneth Gainwell,9.4,8.3396334144,7,Bench,Team WR
108,1,Dalton Schultz,1.4,6.4755923655,7,Bench,Team WR
109,1,Dak Prescott,6.32,18.356010991,7,QB,Team WR
110,1,Saints D/ST,12,6.543312608,7,D/ST,Team WR
111,1,Jason Myers,6,8.471090524000001,7,K,Team WR
112,1,Austin Ekeler,24.4,15.478980302000002,8,RB,Team BD
113,1,Amon-Ra St. Brown,16.1,13.3311035686,8,WR,Team BD
114,1,Chris Olave,15.2,11.9051653425,8,WR,Team BD
115,1,Cooper Kupp,0,0,8,IR,Team BD
116,1,Mark Andrews,0,0,8,Bench,Team BD
117,1,Rachaad White,5.9,12.5031244835,8,RB,Team BD
118,1,Justin Herbert,20.86,16.901123412,8,QB,Team BD
119,1,Jahan Dotson,6.5,9.3575464,8,Bench,Team BD
120,1,Brandin Cooks,3.2,9.8686665298,8,Bench,Team BD
121,1,Jamaal Williams,6.2,13.158244974,8,FLEX,Team BD
122,1,Samaje Perine,9.8,10.5815608985,8,Bench,Team BD
123,1,Quentin Johnston,1.9,5.065570285000001,8,Bench,Team BD
124,1,JuJu Smith-Schuster,5.300000000000001,8.465178629,8,Bench,Team BD
125,1,Zach Charbonnet,1.1,7.051836700600001,8,Bench,Team BD
126,1,Commanders D/ST,12,8.063037474,8,D/ST,Team BD
127,1,Matt Gay,3,7.858008836000001,8,K,Team BD
128,1,Isaiah Likely,0.9,7.5321737045,8,TE,Team BD
129,1,Christian McCaffrey,24.4,14.8909069435,9,RB,Team DH
130,1,Josh Jacobs,8.100000000000001,14.9397844695,9,RB,Team DH
131,1,Jaylen Waddle,9.8,12.5670715696,9,WR,Team DH
132,1,Amari Cooper,5.2,11.2465094275,9,WR,Team DH
133,1,Lamar Jackson,6.5600000000000005,22.530872988,9,QB,Team DH
134,1,George Kittle,3.4000000000000004,8.4030804601,9,TE,Team DH
135,1,J.K. Dobbins,10.7,11.842440009,9,FLEX,Team DH
136,1,Gabe Davis,4.2,8.500656957,9,Bench,Team DH
137,1,D'Andre Swift,0.8,10.340684790499996,9,Bench,Team DH
138,1,Michael Thomas,8.600000000000001,9.5447371595,9,Bench,Team DH
139,1,Michael Pittman Jr.,19.700000000000003,9.5605544481,9,Bench,Team DH
140,1,Geno Smith,9.08,19.232112337,9,Bench,Team DH
141,1,Sam LaPorta,6.4,5.9918983185000005,9,Bench,Team DH
142,1,Tank Bigsby,5.3,5.403077175400001,9,Bench,Team DH
143,1,Patriots D/ST,7,4.697513239999999,9,D/ST,Team DH
144,1,Younghoe Koo,7,7.819622709,9,K,Team DH
145,1,Ja'Marr Chase,6.6000000000000005,16.965098555,10,WR,Team RW
146,1,Joe Mixon,8.8,13.04322375,10,RB,Team RW
147,1,Josh Allen,9.04,21.10361756,10,QB,Team RW
148,1,DeAndre Hopkins,10,10.5888306405,10,WR,Team RW
149,1,Breece Hall,15.2,6.647536781,10,Bench,Team RW
150,1,Dallas Goedert,0,7.787632203,10,TE,Team RW
151,1,James Cook,8.3,10.826163152,10,RB,Team RW
152,1,Jaxon Smith-Njigba,2.8,7.616399247500001,10,Bench,Team RW
153,1,49ers D/ST,14,7.781923884999999,10,D/ST,Team RW
154,1,Treylon Burks,3.7,8.1123210375,10,FLEX,Team RW
155,1,Justin Tucker,5,8.697428186,10,K,Team RW
156,1,Tyler Boyd,2,6.4384960765,10,Bench,Team RW
157,1,Chigoziem Okonkwo,0,6.4585895229000005,10,Bench,Team RW
158,1,Michael Gallup,1.5,7.952685904000001,10,Bench,Team RW
159,1,Ezekiel Elliott,4.800000000000001,6.956978296800001,10,Bench,Team RW
160,1,Allen Lazard,5.6000000000000005,7.7242600957,10,Bench,Team RW
0,2,Saquon Barkley,24.200000000000003,16.819741814,1,RB,Team BL
1,2,A.J. Brown,4.9,12.623429999,1,WR,Team BL
2,2,Jalen Hurts,25.22,24.664888924,1,QB,Team BL
3,2,Calvin Ridley,4.2,13.954314399,1,WR,Team BL
4,2,Darren Waller,10.6,9.100060955500002,1,TE,Team BL
5,2,Alexander Mattison,3.4000000000000004,12.187416125500002,1,RB,Team BL
6,2,Tyler Lockett,21.9,10.361195412,1,Bench,Team BL
7,2,Khalil Herbert,6.300000000000001,9.615035212500002,1,Bench,Team BL
8,2,George Pickens,20.700000000000003,9.1536134176,1,Bench,Team BL
9,2,Zay Flowers,8.8,10.1348770991,1,Bench,Team BL
10,2,Cowboys D/ST,16,8.330305803,1,D/ST,Team BL
11,2,Jaylen Warren,10.6,6.303600628,1,Bench,Team BL
12,2,Kyren Williams,25,10.2620273335,1,Bench,Team BL
13,2,Joshua Kelley,3.9,13.0213989595,1,FLEX,Team BL
14,2,Mac Jones,13.74,14.164187505,1,Bench,Team BL
15,2,Nick Folk,10,8.033659815,1,K,Team BL
16,2,Tyreek Hill,12.5,18.3199917992,2,WR,Team GM
17,2,Patrick Mahomes,21.200000000000003,23.29623991,2,QB,Team GM
18,2,Jahmyr Gibbs,9.1,11.672757934500002,2,RB,Team GM
19,2,Deebo Samuel,19.1,12.318401778999998,2,WR,Team GM
20,2,Kenneth Walker III,17.900000000000002,13.653331818000003,2,RB,Team GM
21,2,Kyle Pitts,2.5,7.569204485999999,2,TE,Team GM
22,2,Javonte Williams,6.800000000000001,13.2524139045,2,Bench,Team GM
23,2,Deshaun Watson,11.6,17.010492443,2,Bench,Team GM
24,2,Isiah Pacheco,7.5,11.540167606000002,2,Bench,Team GM
25,2,Odell Beckham Jr.,4.4,8.4278211475,2,Bench,Team GM
26,2,Jordan Addison,14.7,9.677923023300002,2,FLEX,Team GM
27,2,Devin Singletary,2.9000000000000004,6.727215753,2,Bench,Team GM
28,2,Jets D/ST,-1,4.855949341,2,D/ST,Team GM
29,2,Jake Elliott,12,8.745655299000001,2,K,Team GM
30,2,Darnell Mooney,0,6.9225780265,2,Bench,Team GM
31,2,Zack Moss,18.7,9.3546474735,2,Bench,Team GM
32,2,Davante Adams,17.4,15.5571349141,3,WR,Team WN
33,2,Travis Kelce,10.6,13.483208543399998,3,TE,Team WN
34,2,Najee Harris,4.8,11.760650272,3,Bench,Team WN
35,2,Dameon Pierce,4.5,12.259541758,3,RB,Team WN
36,2,Chris Godwin,8.3,11.0952877138,3,WR,Team WN
37,2,Miles Sanders,6.2,12.496040374,3,RB,Team WN
38,2,Trevor Lawrence,9.24,18.381883712,3,QB,Team WN
39,2,Terry McLaurin,13.9,10.668065522400004,3,Bench,Team WN
40,2,Cole Kmet,5.800000000000001,6.506542869,3,Bench,Team WN
41,2,Raheem Mostert,25.200000000000003,11.335120918,3,Bench,Team WN
42,2,Daniel Jones,30.739999999999995,18.131565279,3,Bench,Team WN
43,2,Daniel Carlson,5,7.539912097,3,K,Team WN
44,2,Nico Collins,24.1,8.4854721705,3,Bench,Team WN
45,2,Tyler Allgeier,4.800000000000001,12.2673123195,3,FLEX,Team WN
46,2,Zay Jones,0,9.6131492058,3,Bench,Team WN
47,2,Buccaneers D/ST,19,7.163831878,3,D/ST,Team WN
48,2,Stefon Diggs,10.1,14.7470005935,4,WR,Team JN
49,2,Tony Pollard,16.4,15.948891004500002,4,RB,Team JN
50,2,DK Metcalf,10.5,12.7866606065,4,FLEX,Team JN
51,2,DeVonta Smith,21.1,12.480494512000002,4,WR,Team JN
52,2,Justin Fields,14.740000000000002,18.966812854000004,4,QB,Team JN
53,2,Cam Akers,0,0,4,Bench,Team JN
54,2,Alvin Kamara,0,0,4,Bench,Team JN
55,2,Evan Engram,8.7,7.842662298300001,4,TE,Team JN
56,2,Dalvin Cook,-0.2999999999999999,9.1524360285,4,RB,Team JN
57,2,Marquise Brown,14.4,9.8191442539,4,Bench,Team JN
58,2,Rashaad Penny,1.9,7.7863672148,4,Bench,Team JN
59,2,Elijah Moore,5.6,8.032031252300001,4,Bench,Team JN
60,2,Dalton Kincaid,6.8,6.803707844500001,4,Bench,Team JN
61,2,Jared Goff,22.92,15.7481271655,4,Bench,Team JN
62,2,Eagles D/ST,6,5.121794025,4,D/ST,Team JN
63,2,Tyler Bass,8,8.660952079000001,4,K,Team JN
64,2,Justin Jefferson,19.4,18.051400181900004,5,WR,Team Caleb
65,2,Garrett Wilson,15.3,11.547285698,5,WR,Team Caleb
66,2,Travis Etienne Jr.,5.2,14.509581306499998,5,RB,Team Caleb
67,2,Joe Burrow,15.380000000000004,20.733000373000003,5,QB,Team Caleb
68,2,James Conner,16.6,13.485900058000002,5,RB,Team Caleb
69,2,Diontae Johnson,0,0,5,Bench,Team Caleb
